,Sphere,Subsphere,Title,Description,Answer,Answer2,Answer3,is_solved,creator_id,ansver_id,ansver_id2,ansver_id3,deadline,attachments,solved_id,stars,Tags
0,математика,Корни уравнений,Найдите наименьшей положительный корень уравнения,"3sin^3(x)+2017sin^5(⁡x)=3cos^3(⁡2x)+2017cos^5(⁡2x). Представьте x в виде x=a/bπ, где a/b — несократимая дробь с натуральными числителем и знаменателем. В ответе запишите b (знаменатель получившейся дроби).",1,2,3,0,1,2.0,3.0,4.0,2021-10-01,,,1,"Корень уравнения, Математика"
1,математика,Отрезки,Найти длину отрезка,"Найти длину отрезка АВ с координатами: а) А (-2, 3) В (9, 7) б) А (2, (5)) В (10, (8)).",,,,0,2,,,,2021-10-02,,,2,Математика
2,математика,Классическая вероятность,Шары из урны,"В урне находится 25 шаров: 5 синих, 7 зеленых, 4 красных, 8 белых и 1 черный. Из урны извлекают по очереди 4 шара. Найти вероятность того, что первый из них синий, второй – черный, третий – красный и четвертый – белый.",,,,0,3,,,,2021-10-03,,,3,"Задача про шары и урну, Классическая вероятность, Математика"
3,математика,Треугольник,Найти координаты вершины треугольника,"В прямоугольном треугольнике известно уравнение гипотенузы 2x+3y=1 и координаты двух вершин (-1,1) и (-2,-1) найти координаты третей",,,,0,4,,,,2021-10-04,,,5,Математика
4,математика,Экономическая задача,Задача,Установка 1 бетонного кольца колодца стоит 600 руб. Установка каждого следующего стоит на 200 руб. дороже. После установки всех колец оказалось что в среднем установка каждого кольца обошлась в 1100 руб. Сколько колец было установлено?,,,,0,1,,,,2021-10-05,,,4,Математика
5,математика,Классическая вероятность,Вероятность достать шары из урны,"В урне находится 25 шаров: 5 синих, 5 зеленых, 5 красных, 5 белых и 5 черный. Из урны извлекают по очереди 4 шара. Найти вероятность того, что первый из них синий, второй – черный, третий – красный и четвертый – белый.",,,,0,2,,,,2021-10-06,,,6,"Задача про шары и урну, Классическая вероятность, Математика"
6,математика,Классическая вероятность,Разное число шаров,"Шесть шаров случайным образом раскладывают в три ящика. Найти вероятность того, что во всех ящиках окажется разное число шаров, при условии, что все ящики не пустые.","Используем классическое определение вероятности: P=m/n, где m - число исходов, благоприятствующих осуществлению события, а n - число всех равновозможных элементарных исходов.

m=6, так как есть только три случая расположения 6 шаров по 3 ящикам, чтобы во всех ящиках оказалось разное число шаров: (1, 2, 3), (2, 1, 3), (3, 2, 1), (1, 3, 2), (2, 3, 1), (3, 1, 2).

Всего случаев расположения 6 шаров по 3 ящикам, чтобы ни один ящик не остался пустым равно
m=C3−16−1=C25=5!2!3!=4⋅51⋅2=10.
Тогда искомая вероятность P=6/10=0,6.

Ответ: 0,6.",Не знаю,Погугли,1,3,1.0,2.0,4.0,2021-10-07,,1.0,7,"Классическая вероятность, Математика"
7,математика,Классическая вероятность,Кубик с буквами,"Ребенок имеет на руках 5 кубиков с буквами: А, К, К, Л, У. Какова вероятность того, что ребенок соберет из кубиков слово ""кукла""?","Используем формулу классической вероятности: P=m/n, где n - число всех равновозможных элементарных исходов, m - число элементарных исходов, благоприятствующих осуществлению события.

Число различных перестановок из букв А, К, К, Л, У равно
n=5!1!2!1!1!=1⋅2⋅3⋅4⋅51⋅2=60,
из них только одна соответствует слову ""кукла"" (m=1), поэтому по классическому определению вероятности вероятность того, что ребенок соберет из кубиков слово ""кукла"" равна P=1/60.

Ответ: 1/60.",0,,1,4,2.0,1.0,,2021-10-08,,2.0,8,"Классическая вероятность, Математика"
8,математика,Классическая вероятность,Ладьи,"На шахматную доску случайным образом поставлены две ладьи. Какова вероятность, что они не будут бить одна другую?","Используем классическое определение вероятности: P=m/n, где m - число исходов, благоприятствующих осуществлению события, а n - число всех равновозможных элементарных исходов.

Число всех способов расставить ладьи равно n=64⋅63=4032 (первую ладью ставим на любую из 64 клеток, а вторую - на любую из оставшихся 63 клеток).

Число способов расставить ладьи так, что они не будут бить одна другую равно m=64⋅(64−15)=64⋅49=3136 (первую ладью ставим на любую из 64 клеток, вычеркиваем клетки, которые находятся в том же столбце и строке, что и данная ладья, затем вторую ладью ставим на любую из оставшихся после вычеркивания 49 клеток).

Тогда искомая вероятность P=3136/4032=49/63=7/9=0,778.

Ответ: 7/9.",Аппроксимация,,1,2,3.0,2.0,,2021-10-09,,3.0,1,"Классическая вероятность, Математика"
9,русский язык,Синонимы,Подскажите синонимы,Близкие по значению слова к слову родной,"Правильней синонимы, близкий, дорогой, любимый",Хакатон,,1,1,4.0,3.0,,2021-10-10,,4.0,2,"Синонимы, Склонение, Русский язык"
